Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Shiseido Company Limited,RCG,4304160,,Dead Attrition,Renewal,Unspecified,No Reason Given,,2026-05-31,0,0063y000019XMsFAAW,Closed/Lost
84.51° LLC,RCG,944398,,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Transfer of Users to New Org,"1/8/26 : #NoAttrit, utilization in 80s% no risk identified",2026-05-28,83372.69,006ed00000EE8yXAAT,Closed/Lost
Pine Gate Renewables,CMRCL,717025.80,0,Dead Attrition,Off-Cycle Bad Debt,Business Change & Distress,Financial Distress - Out of Business/Bankruptcy,3/5/2026 CSAL CChau #FullAttrit #LicFullAttrit - Bankruptcy. Reviewing with RM and AD to see if actionable.,2026-05-26,0,006ed00000OhVAnAAN,Closed/Lost
Imperial Dade Canada Inc.,MAE,664130.50,0,Dead Attrition,Renewal,Customer Relationship,Relationship Issues (Lack of Responsiveness),4/14/26 CSAL GY #LicFullAttrit - requesting ROR president has said that trust was eroded by previous team.,2026-05-01,0,0063y000019WkEmAAK,Closed/Lost
Rich Products Corporation,RCG,591718.90,,05 Closed,Renewal,Adoption,Lack of Internal Sponsorship,"5/6/2026 Phil Nowak #SigRisk #LicPartialAttrit $396,304.88 attrition risk. Economic pressure, companywide cost reduction. Customer has confirmed value in Sig, but has no budget allocated. AF/DC licenses courtesy extension through end of Aug 2026.",2026-05-29,61985.98,006ed00000EBzGEAA1,Closed/Lost
Niantic Inc.,CMRCL,558720,0,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,,2026-05-16,0,0063y000019X3jfAAC,Closed/Lost
TOTO USA Inc.,CMRCL,331559.20,0,05 Closed,Renewal,Product,Product Defect/Bug,4/9: RP CSAL non-actionable #fullattrit may keep a portion $100k while they migrate or a 9 month contract.,2026-05-31,140055,006ed00000EE5sbAAD,Closed/Lost
Vertex Energy,CMRCL,310743,0,Dead Attrition,Off-Cycle Bad Debt,,,2026-05-20,0,006ed00000alSFRAA2,Closed/Lost
The Mosaic Company Global Org,MAE,300000,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,3/19/26 BPH: #SigRisk #Non-Actionable Procurement sent notice of non-renewal. Economic issues - Net income has decreased 85% in last 2 years & have rolled out $250M cost savings program.,2026-05-14,0,006ed00000DQc70AAD,Closed/Lost
Stanley Black & Decker Inc.,MAE,262258.40,0,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,2/27/26 AGilb - Slack is attrition risk plan to offer signature swap and co-term with main renewal in Jan 2027. #LicFullAttrit,2026-05-08,18234.36,006ed00000D6ahFAAR,Closed/Lost
CECO Environmental Corp,CMRCL,212790,,Dead Attrition,Renewal,Product,Product Feature Gap,,2026-05-14,0,0063y000019X0BtAAK,Closed/Lost
JM Family Automotive LLC - SET Org,CMRCL,212365.80,0,05 Closed,Renewal,Competitive,Switched to a Direct Competitor,5/5: RP CSAL confirmed partial attrit have known about it for a while implementation,2026-05-31,19938.60,006ed00000EDsaQAAT,Closed/Lost
Micro Commercial Components Corp,CMRCL,197563.80,0,Dead Attrition,Off-Cycle Restructure/Cancellation,Policy & Compliance,New Security Policies/Requirements,,2026-05-26,0,006ed00000b8Wa5AAE,Closed/Lost
Vertex Energy - Service Platform,CMRCL,169920,0,Dead Attrition,Off-Cycle Bad Debt,,,2026-05-20,0,006ed00000alODSAA2,Closed/Lost
Sysco Corporation,MAE,143739.20,0,05 Closed,Off-Cycle Restructure/Cancellation,,,2026-05-08,712782.56,006ed00000Z5mawAAB,Closed/Lost
CSI Compressco LP (sub of Kodiak),CMRCL,142201.20,,Dead Attrition,Renewal,Implementation,Customer Led - Customer Issue,,2026-05-14,0,006ed00000DQe0jAAD,Closed/Lost
Abacode,RCG,138167.60,,05 Closed,Renewal,Business Change & Distress,"Business Direction Change - Restructuring/Internal License Reduction","3/12/26 AJ #PartialAttrit M&A, shelfware. LA 85%, LU 81%, CPQ PSL 50%, CC Login 99%, ECS 0. Rec: Success Review",2026-05-31,97635.60,006ed00000TfwYpAAJ,Closed/Lost
Molson Coors Beverage Company,RCG,103320,,Dead Attrition,Renewal,Financial & Contractual,Limited Life Licenses (Short-Term Project),,2026-05-07,0,006ed00000U9wQ5AAJ,Closed/Lost
7-Eleven Inc. (MAIN),RCG,102744,,Dead Attrition,Renewal,Unspecified,No Reason Given,,2026-05-13,0,006ed00000DN94jAAD,Closed/Lost
