Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Saks.com LLC,RCG,4470000,1000000,02 Negotiate,Off-Cycle Restructure/Cancellation,Business Change & Distress,Financial Distress - Out of Business/Bankruptcy,#ARI 3/18/26: Confirming forecasted attrition # on this oppty.,2026-07-31,30775096,006ed00000TQPgQAAX,Still in Play
Sunrun Inc.,MAE,3111210,2111210,02 Negotiate,Renewal,Financial & Contractual,Low Perceived ROI,6/16/2026 BG #LicPartialAttrit #NoSigRisk ARI SWE ($750K),2026-07-31,0,006ed00000I2qRZAAZ,Still in Play
Lowe's Companies Inc.,RCG,2540586.9,,02 Negotiate,Renewal,Product,Product Feature Gap,2/12/26: #LicPartialAttrit #SigRisk. $5.3m risk in Contact Center due to MIAW gaps. ARI approved,2026-07-31,15626874.84,0063y000019ejqkAAA,Still in Play
Specialized Bicycle Components Inc.,RCG,1500000,,02 Negotiate,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,6/9/26 Jack K #LicPartialAttrit - full attrition on MCE (Klayvio & Mailchimp),2026-07-14,1851593.8,0063y000018jj1jAAA,Still in Play
Lowe's Companies Inc.,RCG,1178801.7,,02 Negotiate,Renewal,Competitive,Replaced with an In-House Solution,6/10/26 - LM: #PartialAttrit currently forecasting price risk,2026-07-31,7047725.87,0063y000019ejlcAAA,Still in Play
Pentair Management Company,MAE,500208,500208,01 Initiate,Renewal,Adoption,Lack of Internal Expertise,5/22/26 CSAL GY #SigTrial FY27; going well with the two CSMs,2026-07-31,533720.4,0063y000018kAu3AAE,Still in Play
Colgate-Palmolive Company,RCG,486494.1,,01 - Identifying an Opportunity,Renewal,Business Change & Distress,M&A Activity - Competitor Solution,4/20/26 KMV #LicFullAttrit - Expecting full attrition customer is moving to SAP.,2026-07-05,0,006ed00000a6Q7yAAE,Still in Play
Colgate-Palmolive Company,RCG,486494.1,,01 - Identifying an Opportunity,Courtesy,Business Change & Distress,M&A Activity - Competitor Solution,4/20/26 KMV #LicFullAttrit - Expecting full attrition customer is moving to SAP.,2026-07-05,0,006ed00000a9jlxAAA,Still in Play
Milliken & Company**,MAE,455476.2,0,05 Closed,Renewal,Business Change & Distress,Business Direction Change - Restructuring/Internal License Reduction,5/22/26 CSAL GY #LicPartialAttrit - AD working on final count,2026-07-14,1320650.89,0063y000016VsqsAAC,Closed/Lost
TSI Inc.,CMRCL,422512.1,,01 Initiate,Renewal,Customer Relationship,Lack of Executive Sponsorship,5/5: RP CSAL #fullattrit have signed with new vendors,2026-07-30,0,006ed00000HhCAeAAN,Still in Play
Ferrara Candy Company,RCG,416394.3,,01 Initiate,Renewal,Customer Relationship,Relationship Issues (Lack of Responsiveness),04/13 RL #LicPartialRisk Risk due to lack of engagement,2026-07-13,46800,006ed00000Gnw4rAAB,Still in Play
TreeHouse Foods Inc.,RCG,416158,,04 Pending,Renewal,Financial & Contractual,Shelfware Due to Pricing,,2026-07-31,0,0063y000018kBPAAA2,Still in Play
Ambient Enterprises Holdco LLC,CMRCL,404724,0,02 Negotiate,Renewal,Competitive,Replaced with an In-House Solution,6/16/2026 CChau CSAL #partialAttrit #LicPartialAttrit - retaining some licenses,2026-07-31,40800,006ed00000I3EX7AAN,Still in Play
Belden Inc.,MAE,397764,,01 Initiate,Renewal,,,6/8/26 CSAL CCap #LicPartialAttrit; Known attrition. $610k attrition spread,2026-07-14,0,006ed0000052rBpAAI,Still in Play
The Scotts Company LLC.,MAE,393710,393710,04 Pending,Renewal,Adoption,Internal Enablement Issues (Training Gap),5/22/26; SS; #LicFullAttrit risk Mitigation In Progress. MC Next LIVE.,2026-07-31,0,006ed00000RTCELAA5,Still in Play
Turntide Technologies Inc.,CMRCL,386703.4,0,05 Closed,Renewal,Financial & Contractual,Dissatisfaction with Pricing Tier/Term Length,3/4: RP CSAL #partialattrit confirmed by customer,2026-07-29,157334.4,0063y000017bJscAAE,Closed/Lost
TARGET,RCG,373712.4,373712.4,02 Negotiate,Renewal,Business Change & Distress,Financial Distress - Need to Cut Costs,6/9 MC - No reduction confirmed. Contract allows 30% user reduction.,2026-07-30,871995.6,006ed00000HzG65AAF,Still in Play
minted. LLC,RCG,340104,340104,02 Negotiate,Renewal,Adoption,Lack of Internal Expertise,5/15/26 Jack Kiatmysack #LicPartialAttrit Agentforce and service at risk (Sierra),2026-07-30,511850.88,006ed00000I11HSAAZ,Still in Play
The Scotts Company LLC,MAE,321671.2,0,04 Pending,Renewal,Adoption,Lack of Internal Sponsorship,5/5/2026 SS; #LicFullAttrit on Pardot aka MC Account Engagement,2026-07-30,0,0063y000018k90TAAQ,Still in Play
Vertex Energy,CMRCL,298520,,04 Pending,Renewal,Implementation,Partner Led - Customer Issue,3/5/2026 CSAL CChau #FullAttrit #LicFullAttrit - customer and RVP confirmed.,2026-07-31,0,006ed00000I2w3yAAB,Still in Play
Yanmar America Corporation,CMRCL,291629.3,20000,02 Negotiate,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,6/16/2026 CChau CSAL #partialAttrit #licPartialAttrit due to restructuring,2026-07-29,477226.8,0063y000018k6ixAAA,Still in Play
Rehrig Pacific Company,CMRCL,246688.2,,02 Negotiate,Renewal,Product,Product Feature Gap,11/3: RP CSAL chattered AD for update,2026-07-29,163407,0063y000018k6iRAAQ,Still in Play
Tangram Interiors,CMRCL,235840.8,,Dead Attrition,Renewal,Competitive,Switched to a Direct Competitor,,2026-07-31,0,006ed00000I3WnNAAV,Closed/Lost
Cars.com LLC dba Cars Commerce,CMRCL,200405.6,200000,02 Negotiate,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,6/26/26 Justin Winschel #LicPartialAttrit #SigRisk #AFAttrit #ARI,2026-07-31,4987496.88,0063y000018kBStAAM,Still in Play
Waste Management National Services Inc.,MAE,194771.8,27884.3,03 Agreed,Renewal,Competitive,Switched to a Direct Competitor,02/18/2026 Uday Kiran Nimmathi #No attrit.,2026-07-16,197006.56,006ed00000H1dAQAAZ,Still in Play
Saint Gobain Corporation,MAE,173353.7,,02 Negotiate,Renewal,Unspecified,No Reason Given,,2026-07-24,0,006ed00000HYhGrAAL,Still in Play
Rehrig Pacific Company,CMRCL,158400,,03 Agreed,Renewal,Product,Product Feature Gap,,2026-07-21,0,0063y000019XA93AAG,Still in Play
Hibbett Retail Inc,RCG,155000,155000,02 Negotiate,Upgrade,Financial & Contractual,Shelfware Due to Pricing,18/06/2026 Luke Gallagher #LicNoAttrit #SigRisk Hibbett fully bought into AGF,2026-07-13,435892.04,006ed00000Gna9CAAR,Still in Play
Arcadia,CMRCL,150316.8,20000,03 Agreed,Renewal,Financial & Contractual,Contract Transfer to Reseller or Partner,,2026-07-30,0,006ed00000TddyVAAR,Still in Play
HF Sinclair,MAE,150000,60000,02 Negotiate,Renewal,Product,Product Retirement - No Replacement,6/8/26 CSAL CCap #LicPartialAttrit; Will lose Heroku; mitigating through other addons.,2026-07-31,446990.22,0063y000018kBR9AAM,Still in Play
Hyundai Autoever America LLC,MAE,140340,,01 Initiate,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,6/8/26 CSAL CCap #LicFullAttrit; no longer using this instance.,2026-07-30,0,006ed00000I3SWsAAN,Still in Play
Waste Management National Services Inc.,MAE,140000,,03 Agreed,Renewal,Financial & Contractual,Dissatisfaction with Pricing Tier/Term Length,5/5 SA: WM SBS not renewing Signature - budget constraints. #FullAttrit,2026-07-30,0,006ed00000I02x7AAB,Still in Play
Cryogenic Industries Inc.,CMRCL,134573.5,0,01 Initiate,Renewal,Adoption,Internal Enablement Issues (Training Gap),6/16/2026 CChau CSAL #partialAttrit #LicensePartialAttrit,2026-07-14,728590.785,0063y000018jj6IAAQ,Still in Play
Belden Inc.,MAE,127945.2,,05 Closed,Renewal,Business Change & Distress,Financial Distress - Downsizing/Reduced Workforce,6/8/26 CSAL CCap #LicPartial Attrit; potential April close.,2026-07-31,2237375.25,0063y000017bKLfAAM,Closed/Lost
Audio Enhancement Inc.,CMRCL,125000,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,4/30/2026 - RR - #SigRisk #PrecautionaryRed. Lost $120K w/ partner Coastal,2026-07-27,0,006ed00000Hm3LDAAZ,Closed/Lost
GR Energy Services,CMRCL,123832.8,,04 Pending,Renewal,Adoption,Internal Enablement Issues (Training Gap),,2026-07-27,0,006ed00000HYO7lAAH,Still in Play
Arconic Corporation,MAE,109961.4,,04 Pending,Off-Cycle Non Coterminous Order,Business Change & Distress,Business Direction Change - Restructuring/Internal License Reduction,,2026-07-30,0,006ed00000Sd6VFAAZ,Still in Play
Penney OpCo LLC,RCG,107700,,04 Pending,Renewal,Financial & Contractual,Low Perceived ROI,,2026-07-30,0,0063y000017bJnLAAU,Still in Play
Duke Energy Business Services LLC,MAE,106352.1,,04 Pending,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,6/8/26 CSAL CCap #LicFullAttrit; Org is being sunset.,2026-07-29,0,0063y000019ecOoAAI,Still in Play
Weisiger Group Inc.,MAE,105427.4,20000,02 Negotiate,Renewal,Unspecified,No Reason Given,,2026-07-03,494266.50,006ed00000b6GsnAAE,Still in Play
Coca-Cola North America,RCG,104867.2,,04 Pending,Renewal,Business Change & Distress,Business Direction Change - Restructuring/Internal License Reduction,,2026-07-25,-0.002,006ed00000TGcOoAAL,Still in Play
Landus Cooperative,CMRCL,100320,,01 Initiate,Off-Cycle Bad Debt,,,,2026-07-31,0,006ed00000d5JZrAAM,Still in Play
