Account,Area,Attrition ($),Swing ($),Stage,Type,Reason,Reason Detail,CSG Notes,Close Date,Renewed ($),Opportunity ID,Status
Vistaprint Limited,CMRCL,2567098.6,,05 - Negotiating $$ & Mutual Plan,Renewal,Business Change & Distress,Business Direction Change - Restructuring/Internal License Reduction,5/5: RP #noattrit growth through signature,2026-06-30,15000,006ed00000fIykTAAS,Still in Play
Sysco Corporation,MAE,1800000.9,1800000,01 Initiate,Renewal,Adoption,Lack of Internal Sponsorship,5/11/26 AF - #LicNoAttrit - Implementation is underway with Infosys. Swapped $340K Loyalty Mgmt for Agentforce.,2026-06-30,16428325.594,0063y000019RWQgAAO,Still in Play
Dooney & Bourke Inc.,CMRCL,1032227,,03 Agreed,Renewal,Product,Product Feature Gap,2/13/2026 CSAL CChau #FullAttrit #LicFullAttrit - customer going to Shopify,2026-06-30,146062.5,0063y000017ltqnAAA,Still in Play
Hitachi High-Tech Corporation,MAE,1008540,,02 Negotiate,Renewal,Unspecified,No Reason Given,,2026-06-30,1262760,006ed00000dDflGAAS,Still in Play
Ariat International Inc.,RCG,908746,,04 Pending,Renewal,Business Change & Distress,Business Direction Change - Product No Longer Relevant,6/16/26 JSC #LicPartialAttrit: Will fully attrit MCE. #RFP.,2026-06-30,0,006ed00000G5uefAAB,Still in Play
Dupont - Electronics Specialty Utility,MAE,842604,,Dead Attrition,Renewal,Financial & Contractual,Limited Life Licenses (Short-Term Project),5/22/26 CSAL GY #LicFullAttrit - known attrition of $800K+,2026-06-23,0,006ed00000Fer8DAAR,Closed/Lost
Fossil Group Inc.,RCG,454588.2,0,05 Closed,Renewal,Financial & Contractual,Low Perceived ROI,4/13 JSC #LicPartialAttrit: RM sent out a quote recently...,2026-06-13,325003.8,0063y000018wGQ0AAM,Closed/Lost
AMERICAN BATH GROUP,CMRCL,451354.5,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Transfer of Users to New Org,5/5 RP csal migrating to second org,2026-06-26,0,0063y000019RVmDAAW,Closed/Lost
Blink Charging,CMRCL,400000,,02 Negotiate,Off-Cycle Restructure/Cancellation,Customer Relationship,Product-Market Fit Mismatch/Oversold,4/17/2026 CSAL CChau #FullAttrit #LicFullAttrit - overbought...,2026-06-30,487710.02,006ed00000XHflJAAT,Still in Play
Winston Brands Incorporated,CMRCL,329396.4,,Dead Attrition,Renewal,Business Change & Distress,Financial Distress - Out of Business/Bankruptcy,3/2/2026 CSAL CChau #FullAttrit - company bankrupt out of business.,2026-06-14,0,006ed00000F4aAkAAJ,Closed/Lost
Dupont Specialty Products USA LLC,MAE,240744,,Dead Attrition,Renewal,Financial & Contractual,Limited Life Licenses (Short-Term Project),5/22/26 CSAL GY #LicPartialAttrit - known attrition from divestiture.,2026-06-23,0,006ed00000FerZdAAJ,Closed/Lost
Fanatics Holdings Inc.,RCG,228521.1,,05 Closed,Renewal,Success Plan & Support,Low Success Plan Utilization (Quality/Timeline),2/19/26 - SAW- Build first strategy. They did drop Sig in FY26 on FHI.,2026-06-06,566213.56,0063y000019XWJTAA4,Closed/Lost
Generator Supercenter LP,CMRCL,179110.1,,Dead Attrition,Renewal,Competitive,Replaced with an In-House Solution,,2026-06-19,0,006ed00000FCEpmAAH,Closed/Lost
Hale Products,CMRCL,172858,,05 Closed,Renewal,Product,Product Feature Gap,,2026-06-29,3960,006ed00000FrpN8AAJ,Closed/Lost
Peloton Interactive Inc.,RCG,152125.4,,04 Pending,Renewal,,,,2026-06-30,0,006ed00000G5lJfAAJ,Still in Play
CF Industries Enterprises LLC,CMRCL,149976,,04 Pending,Renewal,Adoption,Lack of Internal Sponsorship,,2026-06-30,0,0063y000019RVzYAAW,Still in Play
Kimberly-Clark Corporation*,RCG,149634,,Dead Attrition,Renewal,Unspecified,No Reason Given,Mar 23; 2026 EBS: #SigRisk #RFP,2026-06-02,0,006ed00000Vx28oAAB,Closed/Lost
Tyson Shared Services Inc.,RCG,149490.5,,04 Pending,Off-Cycle Restructure/Cancellation,Financial & Contractual,Low Perceived ROI,,2026-06-30,1168298.1,006ed00000TjEULAA3,Still in Play
Henkel Corporation,RCG,119767.1,,05 Closed,Renewal,Financial & Contractual,Pricing Change,,2026-06-13,91492.92,0063y000019R8JGAA0,Closed/Lost
Absolute Beauty LLC,CMRCL,113891.4,,05 Closed,Renewal,Competitive,Switched to a Direct Competitor,,2026-06-15,85608.6,0063y000018WexFAAS,Closed/Lost
Grace Other,CMRCL,112377.5,,Dead Attrition,Renewal,Business Change & Distress,Business Direction Change - Transfer of Users to New Org,,2026-06-02,0,006ed00000Tq0JNAAZ,Closed/Lost
